sfType,sysType,ptMin,ptMax,etaMin,etaMax,factor
vetoElectronID,central,0.0,20.0,-2.5,-2.0,1.037711262702942
vetoElectronID,up,0.0,20.0,-2.5,-2.0,1.051563408852938
vetoElectronID,down,0.0,20.0,-2.5,-2.0,1.0238591165529458
vetoElectronID,central,20.0,35.0,-2.5,-2.0,1.0
vetoElectronID,up,20.0,35.0,-2.5,-2.0,1.014282267858352
vetoElectronID,down,20.0,35.0,-2.5,-2.0,0.9857177321416479
vetoElectronID,central,35.0,50.0,-2.5,-2.0,0.9978494644165039
vetoElectronID,up,35.0,50.0,-2.5,-2.0,1.0016149297204306
vetoElectronID,down,35.0,50.0,-2.5,-2.0,0.994083999112577
vetoElectronID,central,50.0,100.0,-2.5,-2.0,0.9936169981956482
vetoElectronID,up,50.0,100.0,-2.5,-2.0,1.0023201909355446
vetoElectronID,down,50.0,100.0,-2.5,-2.0,0.9849138054557519
vetoElectronID,central,100.0,200.0,-2.5,-2.0,1.007399559020996
vetoElectronID,up,100.0,200.0,-2.5,-2.0,1.016715084103798
vetoElectronID,down,100.0,200.0,-2.5,-2.0,0.9980840339381943
vetoElectronID,central,200.0,99999.0,-2.5,-2.0,1.006355881690979
vetoElectronID,up,200.0,99999.0,-2.5,-2.0,1.047913333056877
vetoElectronID,down,200.0,99999.0,-2.5,-2.0,0.9647984303250808
vetoElectronID,central,0.0,20.0,-2.0,-1.566,1.0266821384429932
vetoElectronID,up,0.0,20.0,-2.0,-1.566,1.0407654286727828
vetoElectronID,down,0.0,20.0,-2.0,-1.566,1.0125988482132036
vetoElectronID,central,20.0,35.0,-2.0,-1.566,0.9901853799819946
vetoElectronID,up,20.0,35.0,-2.0,-1.566,1.0009272513348588
vetoElectronID,down,20.0,35.0,-2.0,-1.566,0.9794435086291305
vetoElectronID,central,35.0,50.0,-2.0,-1.566,0.9937369227409363
vetoElectronID,up,35.0,50.0,-2.0,-1.566,0.9960142994094529
vetoElectronID,down,35.0,50.0,-2.0,-1.566,0.9914595460724197
vetoElectronID,central,50.0,100.0,-2.0,-1.566,0.9937565326690674
