process,jetsMin,jetsMax,htMin,htMax,factor
ttbb,7.5,100.0,400.0,500.0,0.9840682744979858
ttbb,0.0,4.5,500.0,600.0,0.9507519602775574
ttbb,4.5,5.5,500.0,600.0,0.9662980437278748
ttbb,5.5,6.5,500.0,600.0,0.9735896587371826
ttbb,6.5,7.5,500.0,600.0,0.9781153798103333
ttbb,7.5,100.0,500.0,600.0,0.9695088267326355
ttbb,0.0,4.5,600.0,700.0,0.9374063611030579
ttbb,4.5,5.5,600.0,700.0,0.9416439533233643
ttbb,5.5,6.5,600.0,700.0,0.9560122489929199
ttbb,6.5,7.5,600.0,700.0,0.964621901512146
ttbb,7.5,100.0,600.0,700.0,0.9565836191177368
ttbb,0.0,4.5,700.0,800.0,0.920954167842865
ttbb,4.5,5.5,700.0,800.0,0.9253351092338562
ttbb,5.5,6.5,700.0,800.0,0.9384614825248718
ttbb,6.5,7.5,700.0,800.0,0.9549713134765625
ttbb,7.5,100.0,700.0,800.0,0.9424223303794861
ttbb,0.0,4.5,800.0,900.0,0.9031336903572083
ttbb,4.5,5.5,800.0,900.0,0.9016208648681641
ttbb,5.5,6.5,800.0,900.0,0.9274643063545227
ttbb,6.5,7.5,800.0,900.0,0.9310627579689026
ttbb,7.5,100.0,800.0,900.0,0.9369466304779053
ttbb,0.0,4.5,900.0,1000.0,0.8993647694587708
ttbb,4.5,5.5,900.0,1000.0,0.8848748207092285
ttbb,5.5,6.5,900.0,1000.0,0.8799553513526917
ttbb,6.5,7.5,900.0,1000.0,0.8932717442512512
ttbb,7.5,100.0,900.0,1000.0,0.9084038138389587
ttbb,0.0,4.5,1000.0,10000.0,0.8498198390007019
ttbb,4.5,5.5,1000.0,10000.0,0.8415581583976746
ttbb,5.5,6.5,1000.0,10000.0,0.830676794052124
ttbb,6.5,7.5,1000.0,10000.0,0.8381524085998535
ttbb,7.5,100.0,1000.0,10000.0,0.826705813407898
ttbb_5FS,0.0,4.5,0.0,50.0,0.0
ttbb_5FS,4.5,5.5,0.0,50.0,0.0
ttbb_5FS,5.5,6.5,0.0,50.0,0.0
ttbb_5FS,6.5,7.5,0.0,50.0,0.0
ttbb_5FS,7.5,100.0,0.0,50.0,0.0
ttbb_5FS,0.0,4.5,50.0,100.0,0.0
ttbb_5FS,4.5,5.5,50.0,100.0,0.0
ttbb_5FS,5.5,6.5,50.0,100.0,0.0
ttbb_5FS,6.5,7.5,50.0,100.0,0.0
ttbb_5FS,7.5,100.0,50.0,100.0,0.0
ttbb_5FS,0.0,4.5,100.0,150.0,0.9680629372596741
ttbb_5FS,4.5,5.5,100.0,150.0,0.0
ttbb_5FS,5.5,6.5,100.0,150.0,0.0
ttbb_5FS,6.5,7.5,100.0,150.0,0.0
ttbb_5FS,7.5,100.0,100.0,150.0,0.0
ttbb_5FS,0.0,4.5,150.0,200.0,0.9756872653961182
ttbb_5FS,4.5,5.5,150.0,200.0,0.9684215188026428
ttbb_5FS,5.5,6.5,150.0,200.0,0.2570219039916992
ttbb_5FS,6.5,7.5,150.0,200.0,0.0
ttbb_5FS,7.5,100.0,150.0,200.0,0.0
ttbb_5FS,0.0,4.5,200.0,300.0,0.9805775880813599
ttbb_5FS,4.5,5.5,200.0,300.0,0.9824919104576111
ttbb_5FS,5.5,6.5,200.0,300.0,0.9773476719856262
ttbb_5FS,6.5,7.5,200.0,300.0,0.9627799987792969
ttbb_5FS,7.5,100.0,200.0,300.0,1.0938937664031982
ttbb_5FS,0.0,4.5,300.0,400.0,0.9800525903701782
ttbb_5FS,4.5,5.5,300.0,400.0,0.9867780208587646
ttbb_5FS,5.5,6.5,300.0,400.0,0.9863150119781494
ttbb_5FS,6.5,7.5,300.0,400.0,0.9759160280227661
ttbb_5FS,7.5,100.0,300.0,400.0,0.9619952440261841
ttbb_5FS,0.0,4.5,400.0,500.0,0.9695364832878113
ttbb_5FS,4.5,5.5,400.0,500.0,0.9812261462211609
ttbb_5FS,5.5,6.5,400.0,500.0,0.9847522377967834
ttbb_5FS,6.5,7.5,400.0,500.0,0.9815980195999146
ttbb_5FS,7.5,100.0,400.0,500.0,0.9703314304351807
ttbb_5FS,0.0,4.5,500.0,600.0,0.9550435543060303
ttbb_5FS,4.5,5.5,500.0,600.0,0.9670014977455139
ttbb_5FS,5.5,6.5,500.0,600.0,0.9741532802581787
ttbb_5FS,6.5,7.5,500.0,600.0,0.97584068775177
ttbb_5FS,7.5,100.0,500.0,600.0,0.9656406044960022
ttbb_5FS,0.0,4.5,600.0,700.0,0.937768280506134
ttbb_5FS,4.5,5.5,600.0,700.0,0.9447330236434937
ttbb_5FS,5.5,6.5,600.0,700.0,0.9587114453315735
ttbb_5FS,6.5,7.5,600.0,700.0,0.9722320437431335
ttbb_5FS,7.5,100.0,600.0,700.0,0.9512578845024109
ttbb_5FS,0.0,4.5,700.0,800.0,0.9203518033027649
ttbb_5FS,4.5,5.5,700.0,800.0,0.9359981417655945
ttbb_5FS,5.5,6.5,700.0,800.0,0.9381398558616638
ttbb_5FS,6.5,7.5,700.0,800.0,0.9370015859603882
ttbb_5FS,7.5,100.0,700.0,800.0,0.9282816052436829
ttbb_5FS,0.0,4.5,800.0,900.0,0.9205331802368164
ttbb_5FS,4.5,5.5,800.0,900.0,0.9185377955436707
ttbb_5FS,5.5,6.5,800.0,900.0,0.9294010400772095
ttbb_5FS,6.5,7.5,800.0,900.0,0.9078748226165771
ttbb_5FS,7.5,100.0,800.0,900.0,0.9002028107643127
ttbb_5FS,0.0,4.5,900.0,1000.0,0.9000222086906433
ttbb_5FS,4.5,5.5,900.0,1000.0,0.9042500853538513
ttbb_5FS,5.5,6.5,900.0,1000.0,0.9010550379753113
ttbb_5FS,6.5,7.5,900.0,1000.0,0.9050796031951904
ttbb_5FS,7.5,100.0,900.0,1000.0,0.9154305458068848
ttbb_5FS,0.0,4.5,1000.0,10000.0,0.8642728328704834
ttbb_5FS,4.5,5.5,1000.0,10000.0,0.8462127447128296
ttbb_5FS,5.5,6.5,1000.0,10000.0,0.8446025848388672
ttbb_5FS,6.5,7.5,1000.0,10000.0,0.8362067341804504
ttbb_5FS,7.5,100.0,1000.0,10000.0,0.8280006647109985
ttcc,0.0,4.5,0.0,50.0,0.0
ttcc,4.5,5.5,0.0,50.0,0.0
ttcc,5.5,6.5,0.0,50.0,0.0
ttcc,6.5,7.5,0.0,50.0,0.0
ttcc,7.5,100.0,0.0,50.0,0.0
ttcc,0.0,4.5,50.0,100.0,0.0
ttcc,4.5,5.5,50.0,100.0,0.0
ttcc,5.5,6.5,50.0,100.0,0.0
ttcc,6.5,7.5,50.0,100.0,0.0
ttcc,7.5,100.0,50.0,100.0,0.0
ttcc,0.0,4.5,100.0,150.0,0.9739847183227539
ttcc,4.5,5.5,100.0,150.0,0.0
ttcc,5.5,6.5,100.0,150.0,0.0
ttcc,6.5,7.5,100.0,150.0,0.0
ttcc,7.5,100.0,100.0,150.0,0.0
ttcc,0.0,4.5,150.0,200.0,1.0040056705474854
ttcc,4.5,5.5,150.0,200.0,1.0001355409622192
ttcc,5.5,6.5,150.0,200.0,0.0
ttcc,6.5,7.5,150.0,200.0,0.0
ttcc,7.5,100.0,150.0,200.0,0.0
ttcc,0.0,4.5,200.0,300.0,1.0139271020889282
ttcc,4.5,5.5,200.0,300.0,1.0175997018814087
ttcc,5.5,6.5,200.0,300.0,1.0005500316619873
ttcc,6.5,7.5,200.0,300.0,0.9970878958702087
ttcc,7.5,100.0,200.0,300.0,0.5373428463935852
ttcc,0.0,4.5,300.0,400.0,1.009777545928955
ttcc,4.5,5.5,300.0,400.0,1.0164881944656372
ttcc,5.5,6.5,300.0,400.0,1.0124285221099854
ttcc,6.5,7.5,300.0,400.0,1.0112032890319824
