process,jetsMin,jetsMax,htMin,htMax,factor
ttH,0.0,4.5,0.0,50.0,0.0
ttH,4.5,5.5,0.0,50.0,0.0
ttH,5.5,6.5,0.0,50.0,0.0
ttH,6.5,7.5,0.0,50.0,0.0
ttH,7.5,100.0,0.0,50.0,0.0
ttH,0.0,4.5,50.0,100.0,0.0
ttH,4.5,5.5,50.0,100.0,0.0
ttH,5.5,6.5,50.0,100.0,0.0
ttH,6.5,7.5,50.0,100.0,0.0
ttH,7.5,100.0,50.0,100.0,0.0
ttH,0.0,4.5,100.0,150.0,0.9460766911506653
ttH,4.5,5.5,100.0,150.0,0.0
ttH,5.5,6.5,100.0,150.0,0.0
ttH,6.5,7.5,100.0,150.0,0.0
ttH,7.5,100.0,100.0,150.0,0.0
ttH,0.0,4.5,150.0,200.0,0.9591482281684875
ttH,4.5,5.5,150.0,200.0,0.9438222646713257
ttH,5.5,6.5,150.0,200.0,0.0
ttH,6.5,7.5,150.0,200.0,0.0
ttH,7.5,100.0,150.0,200.0,0.0
ttH,0.0,4.5,200.0,300.0,0.965544581413269
ttH,4.5,5.5,200.0,300.0,0.9628694653511047
ttH,5.5,6.5,200.0,300.0,0.958430290222168
ttH,6.5,7.5,200.0,300.0,0.9428485631942749
ttH,7.5,100.0,200.0,300.0,1.0278947353363037
ttH,0.0,4.5,300.0,400.0,0.9624790549278259
ttH,4.5,5.5,300.0,400.0,0.9624283313751221
ttH,5.5,6.5,300.0,400.0,0.9574601054191589
ttH,6.5,7.5,300.0,400.0,0.9404677152633667
ttH,7.5,100.0,300.0,400.0,0.9081130027770996
ttH,0.0,4.5,400.0,500.0,0.9529785513877869
ttH,4.5,5.5,400.0,500.0,0.9517833590507507
ttH,5.5,6.5,400.0,500.0,0.9490193128585815
ttH,6.5,7.5,400.0,500.0,0.9357790350914001
ttH,7.5,100.0,400.0,500.0,0.9116501808166504
ttH,0.0,4.5,500.0,600.0,0.9403306245803833
ttH,4.5,5.5,500.0,600.0,0.9384202361106873
ttH,5.5,6.5,500.0,600.0,0.9355495572090149
ttH,6.5,7.5,500.0,600.0,0.9240901470184326
ttH,7.5,100.0,500.0,600.0,0.9034482836723328
ttH,0.0,4.5,600.0,700.0,0.9213529229164124
ttH,4.5,5.5,600.0,700.0,0.9249892830848694
ttH,5.5,6.5,600.0,700.0,0.922448456287384
ttH,6.5,7.5,600.0,700.0,0.9083070158958435
ttH,7.5,100.0,600.0,700.0,0.8880287408828735
ttH,0.0,4.5,700.0,800.0,0.9126747250556946
ttH,4.5,5.5,700.0,800.0,0.8996063470840454
ttH,5.5,6.5,700.0,800.0,0.9050648212432861
ttH,6.5,7.5,700.0,800.0,0.8943260908126831
ttH,7.5,100.0,700.0,800.0,0.8803785443305969
ttH,0.0,4.5,800.0,900.0,0.8925357460975647
ttH,4.5,5.5,800.0,900.0,0.8868743181228638
ttH,5.5,6.5,800.0,900.0,0.8828479051589966
ttH,6.5,7.5,800.0,900.0,0.8709278106689453
ttH,7.5,100.0,800.0,900.0,0.856663167476654
ttH,0.0,4.5,900.0,1000.0,0.879449188709259
ttH,4.5,5.5,900.0,1000.0,0.8648659586906433
ttH,5.5,6.5,900.0,1000.0,0.8557665348052979
ttH,6.5,7.5,900.0,1000.0,0.8554508686065674
ttH,7.5,100.0,900.0,1000.0,0.8358210921287537
ttH,0.0,4.5,1000.0,10000.0,0.8483136296272278
